What is the capital of France?,Paris,London,Berlin,Rome,1
Which planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,3
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,4
Who wrote 'To Kill a Mockingbird'?,Harper Lee,Mark Twain,Jane Austen,Ernest Hemingway,1
What is the smallest prime number?,0,1,2,3,3
What is the speed of light in vacuum?,299,792 km/s,150,000 km/s,100,000 km/s,200,000 km/s,1
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,3
What is the chemical symbol for gold?,Ag,Au,Pt,Fe,2
How many continents are there on Earth?,5,6,7,8,3
What is the tallest mountain in the world?,K2,Mount Everest,Mount Kilimanjaro,Mount Fuji,2
